name_ja,city_code,area,hotel_type_guess,source,ranking_info
ホテル ラ・スイート神戸ハーバーランド,kobe,harborland_meriken,luxury_hotel,ikyu,mybest #1 night view
ORIENTAL HOTEL,kobe,motomachi_nankinmachi,city_hotel,ikyu,est.1870 Japan oldest
ホテルオークラ神戸,kobe,harborland_meriken,city_hotel,mybest,35F landmark; harbor view
神戸メリケンパークオリエンタルホテル,kobe,harborland_meriken,city_hotel,mybest,all rooms with balcony
神戸ポートピアホテル,kobe,bay_area,city_hotel,mybest,737 rooms
神戸ベイシェラトン,kobe,bay_area,luxury_hotel,mybest,night view
remm plus Kobe Sannomiya,kobe,sannomiya,business_hotel,reference,Station direct
Daiwa Roynet Hotel Kobe Sannomiya,kobe,sannomiya,business_hotel,reference,Reference list
ANA Crowne Plaza Kobe,kobe,kitano_shinkobe,city_hotel,reference,Shinkansen access
Dormy Inn Kobe Motomachi,kobe,motomachi_nankinmachi,business_hotel,reference,Onsen
カンデオホテルズ神戸,kobe,sannomiya,business_hotel,ikyu,business hotel ranking
レム神戸三宮,kobe,sannomiya,business_hotel,ikyu,Sleep design concept
ザ ロイヤルパーク キャンバス 神戸三宮,kobe,sannomiya,city_hotel,ikyu,business hotel ranking
ダイワロイネットホテル神戸三宮プレミア,kobe,sannomiya,city_hotel,tw_blog,三宫站5min; 设备新
レムプラス神戸三宮,kobe,sannomiya,business_hotel,tw_blog,三宫站直达; 按摩椅; 睡眠特化
ザロイヤルパークキャンバス神戸三宮,kobe,sannomiya,city_hotel,tw_blog,设计感; 年轻向
東方ホテル (Oriental Hotel Kobe),kobe,motomachi_nankinmachi,city_hotel,tw_blog,旧居留地; 港景; 欧式
神戸ハーバーランドラ・スイート,kobe,harborland_meriken,luxury_hotel,tw_blog,全套房; 港湾夜景
神戸大倉ホテル,kobe,harborland_meriken,city_hotel,tw_blog,高层港景; 日式早餐
神戸メリケンパークオリエンタル,kobe,harborland_meriken,city_hotel,tw_blog,三面环海; 私人阳台
神戸プラザホテルウエスト,kobe,motomachi_nankinmachi,business_hotel,tw_blog,元町; TWD1200起; 最低价
相鉄フレッサイン神戸三宮,kobe,sannomiya,business_hotel,dcard,连锁商务
ヴィラフォンテーヌ神戸三宮,kobe,sannomiya,business_hotel,tw_blog,连锁商务
東横INN神戸三宮駅前,kobe,sannomiya,business_hotel,2025_new,2025.4新开; JR三宫150m
コンフォートホテル神戸三宮,kobe,sannomiya,business_hotel,tw_blog_multi,免费早餐; 连锁
ルミナスホテル,kobe,sannomiya,business_hotel,tw_blog_multi,三宫; 低价
カンデオホテルズ神戸トアロード,kobe,sannomiya,city_hotel,tw_blog_multi,天空SPA
ホテルクラウンパレス神戸,kobe,harborland_meriken,city_hotel,tw_blog_multi,港区; 中型
神戸三宮東急REIホテル,kobe,sannomiya,business_hotel,tw_blog_multi,三宫站; 东急连锁
ホテルモントレ神戸,kobe,sannomiya,city_hotel,tw_blog_multi,Monterey; 英国风
the b 神戸,kobe,sannomiya,business_hotel,tw_blog_multi,三宫站1min
ホテルピエナ神戸,kobe,sannomiya,city_hotel,tw_blog_multi,早餐日本第一; 甜品闻名
神戸北野ホテル,kobe,kitano_shinkobe,boutique_hotel,tw_blog_multi,北野异人馆; 世界一の朝食
神戸須磨シーワールドホテル,kobe,bay_area,resort_hotel,2024_new,2024; 须磨; 水族馆旁
ダイワロイネットホテル神戸三宮プレミア (kuolife),kobe,sannomiya,city_hotel,kuolife,2022新开; 雪肌精备品
元町東急REI,kobe,motomachi_nankinmachi,business_hotel,kuolife,元町站; 东急连锁
Monte Hermana Amalie,kobe,sannomiya,business_hotel,kuolife,三宫; 女性向
KOKO HOTEL 三宮,kobe,sannomiya,business_hotel,kuolife,三宫; KOKO连锁
神戸プラザホテル,kobe,motomachi_nankinmachi,business_hotel,kuolife,元町站1min; 近年翻新
APA Hotel 神戸三宮駅前,kobe,sannomiya,business_hotel,kuolife,2020新开; TWD1600
グリーンリッチホテル神戸三宮,kobe,sannomiya,business_hotel,kuolife,2020新开; 人工温泉; TWD1800
The Ritz-Carlton Kyoto,kyoto,shijo_kawaramachi,luxury_hotel,michelin_forbes,Forbes 5-star 8yr; Michelin listed
翠嵐 ラグジュアリーコレクションホテル 京都 (Suiran),kyoto,arashiyama,luxury_hotel,conde_nast,Conde Nast #1 Japan 6yr; 39 rooms; onsen
THE THOUSAND KYOTO,kyoto,kyoto_station,luxury_hotel,ikyu,ikyu ranking top
ホテルグランヴィア京都 (Hotel Granvia Kyoto),kyoto,kyoto_station,city_hotel,ikyu,JR station direct
Hotel Okura Kyoto,kyoto,shijo_kawaramachi,city_hotel,reference,Reference list
Good Nature Hotel,kyoto,shijo_kawaramachi,boutique_hotel,reference,Reference list
Cross Hotel Kyoto,kyoto,shijo_kawaramachi,city_hotel,reference,Reference list
Genji Kyoto,kyoto,gion_higashiyama,boutique_hotel,reference,Reference list
Dormy Inn Premium Kyoto Ekimae,kyoto,kyoto_station,business_hotel,reference,onsen+free ramen
Hotel 侑楽 京八坂,kyoto,gion_higashiyama,boutique_hotel,yadolog,yadolog score 4.85
ハイアットリージェンシー京都,kyoto,gion_higashiyama,luxury_hotel,multiple,Multiple rankings
京都ブライトンホテル,kyoto,nijo_central,city_hotel,multiple,Multiple rankings
三井ガーデンホテル京都四条,kyoto,shijo_kawaramachi,city_hotel,reference,Chain mid-range
三井ガーデンホテル京都三条プレミア,kyoto,shijo_kawaramachi,city_hotel,rakuten,2024 new; Karasuma Oike
ロイヤルツインホテル京都八条口,kyoto,kyoto_station,city_hotel,ikyu,onsen/sauna
都ホテル 京都八条,kyoto,kyoto_station,city_hotel,ikyu,station area
