name_ja,city_code,area,shop_type,source,brief_note
Lloyds Antiques 神戸,kobe,motomachi_nankinmachi,antique,rafuju,Shosen Mitsui Bldg(Taisho era); UK/FR/Nordic furniture
神戸アンティークウェアハウス,kobe,harborland_meriken,antique,rafuju,container direct import; affordable antique furniture
pilliken antique,kobe,motomachi_nankinmachi,antique,kepco,Otsunakacho west end; antique clocks specialist
mano,kobe,kitano_shinkobe,zakka,kepco,Kitano; Mexican handcraft; colorful folk art
トト路地,kobe,motomachi_nankinmachi,zakka,kepco,Sakaemachi Bldg 3F; 80+ creators rental box
ツバクロ,kobe,motomachi_nankinmachi,zakka,kepco,15yr; ceramics+stationery+clothing+original
Rollo Antiques,kobe,motomachi_nankinmachi,antique,instagram,Motomachi; vintage buttons+beads+ribbons+parts
乙仲通り,kobe,motomachi_nankinmachi,shopping_street,web_search,アンティーク街; 元町裏通り; エリア体験
栄町ビルディング,kobe,motomachi_nankinmachi,zakka,web_search,昭和レトロビル; 小店集合; 神户独特
Favori,kobe,kitano_shinkobe,zakka,web_search,フランス雑貨; 北野; 小さなセレクトショップ
A-1 BAKERY & VINTAGE,kobe,motomachi_nankinmachi,furugi,web_search,パン+ヴィンテージ; 元町; 珍しい組合せ
TOOTH TOOTH maison 15th,kobe,motomachi_nankinmachi,zakka,web_search,旧居留地; 洋菓子+カフェ+雑貨; 歴史建築
HOMIES,kyoto,shijo_kawaramachi,furugi,dress_code,15yr; world vintage; Kyoto icon
ANAgRAM,kyoto,shijo_kawaramachi,furugi,dress_code,Europe vintage; elegant; design-forward
古着屋JAM 京都三条店,kyoto,shijo_kawaramachi,furugi,multiple,8000items; beginner OK; chain
BIG TIME,kyoto,shijo_kawaramachi,furugi,multiple,Sanjo; 4floors; vintage theme park
pastime,kyoto,shijo_kawaramachi,furugi,dress_code,Gokomachi; work wear; American vintage
BMC,kyoto,shijo_kawaramachi,furugi,dress_code,vintage+designers+original brand
LOWECO by JAM 京都,kyoto,shijo_kawaramachi,furugi,multiple,500-3000yen; budget treasure hunt
Three Star,kyoto,shijo_kawaramachi,furugi,elle_hk,Shinkyogoku; largest Kyoto; gallery inside
Kanful,kyoto,shijo_kawaramachi,furugi,elle_hk,affordable; under 10000yen daily wear
Un petit coup doeil,kyoto,shijo_kawaramachi,furugi,elle_hk,French exterior; mature women; unique selection
Kindal 京都店,kyoto,shijo_kawaramachi,vintage_shop,elle_hk,3F; LV/Hermes/Chanel; tax-free; Chinese staff
原宿Chicago 京都店,kyoto,shijo_kawaramachi,furugi,elle_hk,Teramachi; 1000+ kimono upstairs; chain
DECOUVERTE KYOTO,kyoto,shijo_kawaramachi,furugi,elle_hk,Teramachi Shijo-sagaru
HUMAN MADE 1928 京都,kyoto,shijo_kawaramachi,furugi,extrabux,1928 registered cultural property; NIGO brand
SOU SOU おくりもの,kyoto,shijo_kawaramachi,craft,multiple,wa-modern textile; gift shop; Kawaramachi
ANGERS アンジェ 河原町本店,kyoto,shijo_kawaramachi,zakka,multiple,3F; stationery+fashion+kitchen; design goods
mumokuteki goods & wears,kyoto,shijo_kawaramachi,zakka,multiple,natural material; organic; craft collab
TOBICHI京都,kyoto,shijo_kawaramachi,zakka,multiple,Hobonichi; Kotobuki Bldg registered cultural property
D&Department 京都店,kyoto,shijo_kawaramachi,zakka,douban,in Bukkoji temple; lifestyle brand; food+bikes
むす美,kyoto,shijo_kawaramachi,craft,multiple,furoshiki specialist; traditional+modern patterns
倉日用商店,kyoto,shijo_kawaramachi,zakka,multiple,Marutamachi; folk craft+daily necessities
横山竹材店,kyoto,shijo_kawaramachi,craft,asoview,est.Taisho 8; bamboo craft; workshop available
あかりデザイン工房,kyoto,kyoto_station,craft,asoview,handmade washi paper lighting; JR Enmachi 9min
京あめ Crochet,kyoto,shijo_kawaramachi,local_specialty,multiple,Imanishi Seika; 30 flavors; kimono box; factory tour
亀屋良長,kyoto,shijo_kawaramachi,local_specialty,multiple,est.1803; slice yokan; SNS viral
IRODORI,kyoto,shijo_kawaramachi,local_specialty,multiple,pastel stick wagashi; modern; 10th yr
果朋 KAHOU,kyoto,shijo_kawaramachi,local_specialty,multiple,seasonal fruit wagashi; bottle dango; cute
KYOTO SOUZEN,kyoto,kyoto_station,local_specialty,multiple,kushi warabi mochi; room temp; wrapped; Kyoto Sta
聖護院八ッ橋総本店,kyoto,shijo_kawaramachi,local_specialty,multiple,est.1689; 300yr classic; yatsuhashi
笹屋伊織,kyoto,shijo_kawaramachi,local_specialty,multiple,dorayaki only 20-22nd monthly; no egg; secret recipe
誠光社,kyoto,shijo_kawaramachi,bookstore,cinra,ex-Keibunsha manager; direct sourcing; unique curation
余波舎,kyoto,shijo_kawaramachi,bookstore,potel,2024.1 open; new+used books; HK publications unique
hoka books,kyoto,kyoto_station,bookstore,potel,Horikawa-gojo alley; blue bookshelf; gallery 2F
CAVA BOOKS,kyoto,shijo_kawaramachi,bookstore,multiple,inside Demachiza cinema; Demachiyanagi 5min
